name,home,ats,code,found_at,how,status,note
에스피소프트,https://spsoft.co.kr/,,,,,ATS없음,채용링크 3개(화면)
이니텍,https://initech.com/html/index.html,,,,,ATS없음,채용링크 3개(화면)
링네트,https://ringnet.co.kr/main/,,,,,ATS없음,채용링크 1개(화면)
라온시큐어,https://www.raon.com/ko,,,,,ATS없음,채용링크 4개(화면)
크레오에스지,https://curocom.com/,,,,,ATS없음,채용링크 1개(화면)
SKAI,https://skaiworldwide.com/,,,,,채용링크없음,채용링크 0개(화면)
뉴로핏,https://www.neurophet.com/,,,,,채용링크없음,채용링크 0개(화면)
KTcs,https://ktcs.co.kr,,,,,접속실패,Page.goto: net::ERR_CONNECTION_RESET at https://ktcs.co.kr/
KTis,https://ktis.co.kr/,,,,,ATS없음,채용링크 3개(화면)
컴투스홀딩스,https://holdings.com2us.com/ko,recruiter,com2us,https://holdings.com2us.com/ko,브라우저,발견,
에스트래픽,https://straffic.co.kr/,,,,,ATS없음,채용링크 2개(화면)
LS티라유텍,https://ls-thirautech.com/,,,,,ATS없음,채용링크 1개(화면)
조이시티,https://corp.joycity.com/en/main,,,,,채용링크없음,채용링크 0개(화면)
THE E&M,https://theenm.com/,,,,,ATS없음,채용링크 1개(화면)
알서포트,https://www.rsupport.com/ko-kr/,,,,,ATS없음,채용링크 4개(화면)
미투온,https://me2on.com/,,,,,ATS없음,채용링크 2개(화면)
에스넷,https://www.snetsystems.co.kr/,,,,,ATS없음,채용링크 2개(화면)
누리플렉스,https://www.nuriflex.co.kr/,,,,,채용링크없음,채용링크 0개(화면)
젝시믹스,https://xexymixcorp.com/,,,,,ATS없음,채용링크 1개(화면)
엠게임,https://www.mgamecorp.com/,,,,,ATS없음,채용링크 3개(화면)
네오리진,https://neorigin.com/,,,,,채용링크없음,채용링크 0개(화면)
뉴엔AI,https://www.newen.ai/,,,,,채용링크없음,채용링크 0개(화면)
오파스넷,http://opasnet.co.kr/,,,,,ATS없음,채용링크 3개(화면)
폴라리스AI,https://polarisai.co.kr/,,,,,ATS없음,채용링크 2개(화면)
아이티센씨티에스,https://comtec.co.kr,,,,,접속실패,Page.content: Unable to retrieve content because the page is
